number,title,login,created_at,closed_at,is_pr
87,Overdubs that depend on overdubs don't work?,oxinabox,2018-12-05T22:21:09.0,2018-12-06T14:32:36.0,false
86,fix breakage from internal utility rename (JuliaLang/julia@b3cf15252b94bc490e202ba7bef050de723ca5f2),jrevels,2018-12-01T01:42:54.0,2018-12-01T16:37:56.0,true
85,Overhead with nested overdub,MikeInnes,2018-11-20T14:50:36.0,,false
84,Extra Cassette code doesn't compile away like it's supposed to?,NHDaly,2018-11-15T03:02:28.0,2018-11-15T16:59:48.0,false
83,Overdub functions which call displaysize causes failures on Windows,simonbyrne,2018-11-07T00:25:18.0,,false
82,Add Simon Byrne's memoization example to docs/tests,jrevels,2018-11-03T17:21:11.0,2018-11-06T04:07:51.0,true
81,Fix typo in overdub.md,mschauer,2018-11-03T14:01:40.0,2018-11-03T15:18:41.0,true
80,Cap Documenter.jl to 0.19 on Travis,mortenpi,2018-10-17T06:53:59.0,2018-10-23T15:53:00.0,true
79,fix overdubbing for invoke,jrevels,2018-09-29T18:09:27.0,2018-10-01T16:46:02.0,true
78,Package compatibility caps,KZiemian,2018-09-23T11:48:23.0,2018-09-24T16:05:59.0,false
77,tagging system interaction with concurrent load/stores,jrevels,2018-09-21T13:48:21.0,,false
76,fix tagging arrayref/arrayset called with more than one index,jrevels,2018-09-20T19:48:10.0,2018-09-20T20:10:30.0,true
75,tagging system test errors (normally hidden by compiler's try/catch),jrevels,2018-09-11T12:17:20.0,,false
74,Example suggestion: Hook into compiler to make all math operations `@fastmath`,MasonProtter,2018-09-11T01:45:21.0,,false
73,Null pass overhead,MikeInnes,2018-08-16T16:40:40.0,2018-11-19T17:18:19.0,false
72,Weird behavior in the AD POC code,chengchingwen,2018-08-11T03:54:22.0,2018-11-03T13:57:18.0,false
71,Const-prop through tuple,maleadt,2018-08-09T19:10:57.0,2018-12-18T22:32:11.0,false
70,Assertion failure on 1.0,maleadt,2018-08-08T08:06:49.0,2018-08-08T08:09:47.0,false
69,change posthook to return overdubbed invocation output so that it can postprocess immutable outputs,jrevels,2018-08-07T11:58:24.0,2018-09-06T21:35:46.0,true
68,Tag a release,MikeInnes,2018-08-02T13:42:27.0,2018-08-09T10:27:28.0,false
67,Typed IR passes,MikeInnes,2018-07-30T08:26:19.0,2020-04-20T13:41:32.0,false
66,Function splitting,MikeInnes,2018-07-30T08:21:56.0,,false
65,Passes over IR,MikeInnes,2018-07-30T08:01:28.0,2018-07-30T11:52:29.0,false
64,Tagged context breaks recursive overdub example,vchuravy,2018-07-28T06:10:05.0,2018-07-28T16:35:59.0,false
63,get rid of recurse/overdub cycle in favor of only overdub,jrevels,2018-07-27T04:10:26.0,2018-07-27T14:48:03.0,true
62,untag conditional values in gotoifnot nodes,jrevels,2018-07-25T14:00:00.0,2018-07-27T04:16:29.0,true
61,invalid pcre ccall error message ,jrevels,2018-07-24T22:31:21.0,2018-07-27T14:48:03.0,false
60,don't recurse into kwargs-munging code (resolves #48),jrevels,2018-07-24T15:50:37.0,2018-07-24T17:48:13.0,true
59,Composed broadcast example does not infer,Keno,2018-07-21T20:36:47.0,2018-07-27T14:48:02.0,false
58,RFC: remove many of the contextual dispatch macros in favor of direct overloading of Cassette methods,jrevels,2018-07-19T20:09:25.0,2018-07-23T15:03:05.0,true
57,more inferability workarounds,jrevels,2018-07-19T19:15:28.0,2018-07-19T19:30:31.0,true
56,broadcast noop not inferred,Keno,2018-07-17T17:51:29.0,2018-07-19T19:30:31.0,false
55,some inferability workarounds,jrevels,2018-07-17T16:08:02.0,2018-07-17T17:53:15.0,true
54,remove some apply optimizations now that JuliaLang/julia#28074 is merged,jrevels,2018-07-15T23:43:59.0,2018-07-16T01:59:16.0,true
53,Matmul noop not inferred,Keno,2018-07-15T23:05:03.0,2018-07-17T17:53:16.0,false
52, don't overdub first argexpr to foreigncall,jrevels,2018-07-15T21:44:01.0,2018-07-15T23:15:28.0,true
51,Error when handling ccall with tuple as first argument,Keno,2018-07-15T20:45:13.0,2018-07-15T23:15:28.0,false
